occupation_normalized,rank_assigned,donation_count,total_amount
PROFESSOR,Full Professor,1193999,198923236.00
COLLEGE PROFESSOR,Full Professor,51387,5206518.00
INSTRUCTOR,Instructor,40501,3884801.00
ASSOCIATE PROFESSOR,Associate,37854,3070598.00
LAW PROFESSOR,Full Professor,30891,9063262.00
FACULTY,Other Faculty,30047,4951939.00
LECTURER,Lecturer,28317,5040360.00
RESEARCHER,Other Faculty,25870,4014494.00
UNIVERSITY PROFESSOR,Full Professor,25202,2625815.00
ADJUNCT PROFESSOR,Adjunct,23498,4593125.00
PROFESSOR EMERITUS,Emeritus,21114,2413955.00
ASSISTANT PROFESSOR,Assistant,20473,2473884.00
ACADEMIC,Other Faculty,13901,1800016.00
COLLEGE INSTRUCTOR,Instructor,12769,547326.00
RESEARCH SCIENTIST,Research Faculty,11998,1782171.00
ADJUNCT FACULTY,Adjunct,11307,568796.00
ADJUNCT INSTRUCTOR,Adjunct,7427,531166.00
RETIRED PROFESSOR,Full Professor,6640,727446.00
WRITER PROFESSOR,Full Professor,6349,202849.00
RESEARCH PROFESSOR,Research Faculty,5645,1547587.00
PROFESSOR OF HISTORY,Full Professor,5578,614021.00
SENIOR LECTURER,Lecturer,5376,569673.00
PROFESSOR OF LAW,Full Professor,5116,1645290.00
PROFESSOR SCIENTIST,Full Professor,5046,305485.00
ACADEMIC ADVISOR,Other Faculty,4705,277768.00
PROFESSOR EMERITA,Emeritus,4456,324287.00
PROFESSOR OF MATHEMATICS,Full Professor,4387,381850.00
PROFESSOR OF ENGLISH,Full Professor,4341,233731.00
PROFESSOR OF HISTORY AND THEOLOGY,Full Professor,3915,538397.00
ENGLISH PROFESSOR,Full Professor,3711,272545.00
PROFESSOR OF ASTRONOMY,Full Professor,3710,76910.00
PROFESSOR OF PHYSICS,Full Professor,2677,404465.00
PROFESSOR RETIRED,Full Professor,2656,193801.00
PROF,Other Faculty,2598,428116.00
HISTORY PROFESSOR,Full Professor,2568,330025.00
PART TIME PROFESSOR,Full Professor,2544,80448.00
MATH PROFESSOR,Full Professor,2500,250424.00
FACULTY MEMBER,Other Faculty,2472,267489.00
ACADEMIC ADMINISTRATOR,Other Faculty,2179,298709.00
EMERITUS PROFESSOR,Emeritus,2145,191196.00
PHYSICIAN PROFESSOR,Full Professor,2123,582848.00
UNIVERSITY LECTURER,Lecturer,2097,181864.00
POSTDOCTORAL FELLOW,Postdoc,2049,148119.00
UNIVERSITY FACULTY,Other Faculty,1976,373460.00
CHEMISTRY PROFESSOR,Full Professor,1831,472908.00
SCIENTIST PROFESSOR,Full Professor,1830,342076.00
ASST PROFESSOR,Assistant,1747,179326.00
PART TIME INSTRUCTOR,Instructor,1704,101850.00
POSTDOCTORAL RESEARCHER,Postdoc,1677,639159.00
PROF EMERITUS,Emeritus,1641,122124.00
STUDENT ADJUNCT INSTRUCTOR ENGINEER,Adjunct,1609,3839.00
PROFESSOR OF MEDICINE,Full Professor,1544,679818.00
PROFESSOR OF CRIMINAL JUSTICE,Full Professor,1524,41161.00
ESL INSTRUCTOR,Instructor,1500,51268.00
PROFESSOR OF MUSIC,Full Professor,1456,89838.00
ADJUNCT LECTURER,Adjunct,1444,145818.00
PHYSICS PROFESSOR,Full Professor,1424,231776.00
ADJUNCT ASSISTANT PROFESSOR,Adjunct,1383,108758.00
MATHEMATICS PROFESSOR,Full Professor,1374,111871.00
PROFESSOR PHYSICIAN,Full Professor,1357,237568.00
ENGLISH INSTRUCTOR,Instructor,1336,63415.00
MUSIC PROFESSOR,Full Professor,1316,61075.00
MATH INSTRUCTOR,Instructor,1294,92146.00
POSTDOC,Postdoc,1293,95806.00
PROFESSOR OF ECONOMICS,Full Professor,1270,437616.00
ART INSTRUCTOR,Instructor,1223,26748.00
PROFESSOR OF CHEMISTRY,Full Professor,1214,224308.00
NURSING PROFESSOR,Full Professor,1193,131312.00
ADJUNCT PROF,Adjunct,1188,195327.00
ASSOC PROFESSOR,Associate,1184,135082.00
PROF PHYSICS,Other Faculty,1125,12952.00
RN FACULTY,Other Faculty,1097,33831.00
NURSING INSTRUCTOR,Instructor,1067,81719.00
COLLEGE FACULTY,Other Faculty,1067,142339.00
UNIVERSITY INSTRUCTOR,Instructor,1038,79459.00
BIOLOGY PROFESSOR,Full Professor,1036,110943.00
PROFESSOR OF BIOLOGY,Full Professor,1027,124484.00
VISITING PROFESSOR,Full Professor,1013,224026.00
ADJUNCT,Adjunct,970,121131.00
PROFESSOR AND SCIENTIST,Full Professor,962,40009.00
POSTDOCTORAL SCHOLAR,Postdoc,958,75573.00
ECONOMICS PROFESSOR,Full Professor,955,144260.00
ARTIST PROFESSOR,Full Professor,955,61406.00
COLLEGE LECTURER,Lecturer,941,64230.00
LAW SCHOOL PROFESSOR,Full Professor,939,60435.00
PHYSICIAN RESEARCHER,Other Faculty,923,130077.00
RETIRED PROF,Other Faculty,918,37015.00
PROFESSOR OF ENTONOMOLOGY,Full Professor,909,72673.00
COLLEGE PROF,Other Faculty,888,77946.00
PROFESSOR OF AMERICAN STUDIES,Full Professor,876,12231.00
ANTHROPOLOGY LECTURER,Lecturer,864,24000.00
LAW PROF,Other Faculty,859,130973.00
PROFESSOR OF PHILOSOPHY,Full Professor,838,115743.00
RESEARCH FACULTY,Other Faculty,802,99492.00
UNIV PROFESSOR,Full Professor,796,59414.00
PROFESSOR OF ANTHROPOLOGY,Full Professor,787,69910.00
PSYCHOLOGY PROFESSOR,Full Professor,750,64168.00
PROFESSOR CONSULTANT,Full Professor,748,51818.00
PROFESSOR WRITER,Full Professor,743,121182.00
PROFESSOR OF SOCIAL WORK,Full Professor,742,65420.00
EDUCATION RESEARCHER,Other Faculty,706,42837.00
NURSING FACULTY,Other Faculty,695,51049.00
PROFESSOR EMERITUS OF LAW,Emeritus,684,37803.00
PROFESSOR OF POLITICAL SCIENCE,Full Professor,680,126110.00
EMERITUS PHYSICS PROFESSOR,Emeritus,677,108457.00
UNIV PROF,Other Faculty,675,68278.00
PROFESSOR OF NURSING,Full Professor,674,66678.00
PROFESSOR AND DEAN,Full Professor,659,167227.00
DEAN AND PROFESSOR,Full Professor,647,160705.00
RETIRED BIOLOGY PROFESSOR,Full Professor,632,23350.00
PART TIME INSTRUCTO RETIRED PROFESSOR,Full Professor,628,8752.00
ACADEMIC ADMINISTRATION,Other Faculty,620,116493.00
ACADEMIC DEAN,Other Faculty,608,100487.00
POST DOCTORAL ASSOCIATE,Postdoc,595,3479.00
PROFESSOR OF PHYSIOLOGY,Full Professor,594,45047.00
ENGINEERING PROFESSOR,Full Professor,593,86796.00
RETIRED PSYCHOLOGY PROFESSOR,Full Professor,590,12915.00
RESEARCH PROF BIOLOGY,Other Faculty,587,3544.00
CLINICAL INSTRUCTOR,Instructor,560,38171.00
VOICE INSTRUCTOR,Instructor,555,4749.00
UNIVERSITY PROF,Other Faculty,549,14575.00
SOCIAL WORK PROFESSOR,Full Professor,543,23582.00
PROFESSOR EMERITA OF PSYCHOLOGY,Emeritus,543,6837.00
PROFESSOR LAWYER,Full Professor,541,49260.00
PSYCHOLOGY INSTRUCTOR,Instructor,539,21024.00
PART TIME FACULTY,Other Faculty,536,61793.00
PROFESSOR OF ART,Full Professor,535,29105.00
ACADEMIC COUNSELOR,Other Faculty,533,41215.00
MUSICIAN PROFESSOR,Full Professor,529,95157.00
RETIRED PROFESSOR EMERITA,Emeritus,524,3650.00
PROFESSOR OF PSYCHOLOGY,Full Professor,521,141495.00
BIOLOGY INSTRUCTOR,Instructor,518,27797.00
TEACHING PROFESSOR,Full Professor,514,75977.00
GRADUATE INSTRUCTOR,Instructor,501,20895.00
RETIRED COLLEGE PROFESSOR,Full Professor,501,29998.00
BIOMEDICAL RESEARCHER,Other Faculty,500,39096.00
STUDENT RESEARCHER,Other Faculty,486,44103.00
ASSOC PROF,Associate,480,63366.00
PT FACULTY,Other Faculty,472,13432.00
CLASSICS PROFESSOR,Full Professor,466,13696.00
PROFESSOR OF PHYSCS,Full Professor,456,91795.00
PROFESSOR AND DEPT CHAIR,Full Professor,453,18059.00
POSTDOCTORAL ASSOCIATE,Postdoc,453,23494.00
COMMUNITY COLLEGE INSTRUCTOR,Instructor,449,22950.00
RN PROFESSOR,Full Professor,439,15119.00
HISTORY PROF,Other Faculty,434,22207.00
MEDICAL RESEARCHER,Other Faculty,432,51418.00
SENIOR RESEARCH SCIENTIST,Research Faculty,427,54985.00
ATTORNEY PROFESSOR,Full Professor,425,105616.00
SEMINARY PROFESSOR,Full Professor,420,32640.00
ASSO PROF EMERITA,Emeritus,420,4948.00
RESEARCH ASSOCIATE PROFESSOR,Associate,417,44544.00
LAWYER PROFESSOR,Full Professor,410,58090.00
PROFESSOR AND CHAIR,Full Professor,407,82145.00
PROFESSOR OF THEATRE,Full Professor,404,13747.00
EDUCATIONAL RESEARCHER,Other Faculty,404,137269.00
GRADUATE RESEARCHER,Other Faculty,401,25104.00
ADJUNCT COLLEGE INSTRUCTOR,Adjunct,396,10350.00
UNIVERSITY INSTRUCTOR O,Instructor,395,4552.00
RETIRED PROFESSOR OF SOCIAL WORK,Full Professor,391,26324.00
ACADEMIC LIBRARIAN,Other Faculty,388,16749.00
FACULTY PHYSICS,Other Faculty,388,7304.00
VISITING ASSISTANT PROFESSOR,Assistant,386,23033.00
PROFESSOR AND ASSOCIATE DEAN,Full Professor,383,35302.00
ADJUNCT TEACHER,Adjunct,383,7994.00
DISTINGUISHED PROFESSOR,Full Professor,377,57494.00
FACULTY PHYSICIAN,Other Faculty,376,46221.00
PUBLIC ARTIST PROFESSOR,Full Professor,371,5280.00
PROFESSOR OF PRACTICE,Full Professor,368,300800.00
WRITER AND PROFESSOR,Full Professor,368,20517.00
FACULTY ASSISTANT,Other Faculty,367,8954.00
RESEARCHER PROFESSOR,Full Professor,366,6993.00
RETIRED ACADEMIC,Other Faculty,362,12236.00
DIRECTOR FACULTY,Other Faculty,361,11280.00
PROFESSOR OF BUSINESS,Full Professor,360,40110.00
ART PROFESSOR,Full Professor,355,25467.00
ASSOCIATE PROFESSOR OF HISTORY,Associate,355,38363.00
RETIRED ENGLISH PROFESSOR,Full Professor,351,13905.00
PROFESSOR OF ENGINEERING,Full Professor,350,45560.00
SCIENCE FACULTY SPECIAL PROJECTS,Other Faculty,350,5198.00
POSTDOCTORAL RESEARCH ASSOCIATE,Postdoc,348,47017.00
RETIRED PROFESSOR EMERITUS,Emeritus,347,21799.00
YOGA INSTRUCTOR,Instructor,346,6353.00
PROFESSOR ARTIST,Full Professor,343,16792.00
PROFESSOR U S HISTORY,Full Professor,343,11067.00
PROFESSOR AND ADMINISTRATOR,Full Professor,338,67459.00
RESEARCH PROF,Other Faculty,336,2992.00
ADJUNCT ASSOCIATE PROFESSOR,Adjunct,331,24100.00
CLINICAL ASSISTANT PROFESSOR,Assistant,329,36025.00
UNIVERSITY RESEARCH PROFESSOR,Research Faculty,322,5197.00
POSTDOCTORAL RESEARCH FELLOW,Postdoc,312,27048.00
PROF OF BIOCHEMISTRY,Other Faculty,311,13214.00
RETIRED UNIVERSITY PROFESSOR RESEARCHE,Full Professor,311,86185.00
PHILOSOPHY PROFESSOR,Full Professor,306,30520.00
RETIRED HISTORY PROFESSOR,Full Professor,290,12245.00
PROFESSOR PSYCHOLOGIST,Full Professor,289,83861.00
ACADEMIC SUPPORT,Other Faculty,288,3542.00
LAB INSTRUCTOR,Instructor,287,17421.00
CLINICAL PROFESSOR,Full Professor,287,76487.00
PROFESSOR ADMINISTRATOR,Full Professor,285,169316.00
